iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.934,0.165261,0.164668,0.363235,1,0.152267,62.6649
200,         24.401,0.165261,0.164668,0.34346,1,0.101746,87.618
300,         40.879,0.165261,0.164835,0.217896,1,0.0749664,92.4913
400,         57.363,0.165261,0.164835,0.246445,1,0.11853,94.575
500,         73.846,0.165261,0.164835,0.113953,1,0.0535889,95.7284
600,         90.330,0.165261,0.164835,0.131287,1,0.0645294,96.4609
700,        106.813,0.165261,0.164835,0.343857,1,0.124374,96.9673
800,        123.297,0.165261,0.164835,0.36142,1,0.144592,97.3383
900,        139.780,0.165261,0.164835,0.359467,1,0.183014,97.6218
1000,        156.264,0.165261,0.164835,0.353607,1,0.188599,97.8455
1100,        172.747,0.165261,0.164835,0.578552,1,0.23262,98.0265
1200,        189.217,0.163126,0.162365,0.695084,0.987091,0.300446,98.1757
1300,        204.525,0.149059,0.147973,0.681595,0.901962,0.300125,98.2732
1400,        219.181,0.148123,0.147651,0.698517,0.896301,0.299881,98.3163
1500,        234.089,0.151228,0.147781,0.724045,0.915085,0.299942,98.3794
1600,        249.113,0.153535,0.152458,0.74086,0.929047,0.300079,98.4012
1700,        265.148,0.164044,0.161744,0.792877,0.992645,0.299683,98.4558
1800,        281.441,0.163993,0.162795,0.80162,0.992325,0.299957,98.4972
1900,        297.864,0.16526,0.164346,0.780777,1,0.251404,98.5502
2000,        314.341,0.16526,0.164835,0.771896,1,0.25325,98.6107
2100,        330.824,0.16526,0.164835,0.7388,1,0.255066,98.6671
2200,        347.308,0.16526,0.164835,0.696869,1,0.257889,98.7182
2300,        363.791,0.16526,0.164835,0.693039,1,0.259308,98.7646
2400,        380.275,0.16526,0.164835,0.676041,1,0.259338,98.807
2500,        396.758,0.16526,0.164835,0.620361,1,0.256134,98.8459
2600,        413.242,0.16526,0.164835,0.592972,1,0.248657,98.8817
2700,        429.725,0.16526,0.164835,0.554306,1,0.238632,98.9147
2800,        446.209,0.16526,0.164835,0.515869,1,0.236176,98.9453
2900,        462.692,0.16526,0.164835,0.4888,1,0.241959,98.9737
3000,        479.176,0.16526,0.164835,0.464798,1,0.241608,99.0002
3100,        495.659,0.16526,0.164835,0.437393,1,0.220322,99.0249
3200,        512.143,0.16526,0.164835,0.419968,1,0.188385,99.048
3300,        528.588,0.164563,0.163024,0.417694,1.00009,0.184357,99.0662
3400,        544.891,0.163193,0.163043,0.414795,1.00006,0.182571,99.079
3500,        561.096,0.162121,0.161895,0.411163,1.00006,0.182236,99.0953
3600,        577.090,0.16124,0.160208,0.408615,1.00006,0.181381,99.0915
3700,        593.111,0.160415,0.160208,0.406525,1.00005,0.180466,99.1059
3800,        608.936,0.159695,0.159574,0.404648,1.00005,0.179657,99.1015
3900,        624.781,0.15914,0.15815,0.402985,1.00003,0.179031,99.1091
4000,        640.605,0.158571,0.157686,0.40065,1.00003,0.178284,99.1216
4100,        656.373,0.158042,0.157686,0.399643,1.00005,0.177719,99.1335
4200,        672.097,0.157587,0.157046,0.395538,1.00003,0.177032,99.1454
4300,        687.801,0.157147,0.157046,0.385971,1.00003,0.175934,99.1605
4400,        703.440,0.156769,0.156228,0.37146,1.00003,0.174286,99.1711
4500,        719.063,0.156422,0.156228,0.352386,1.00002,0.175217,99.1842
4600,        734.637,0.156108,0.15518,0.416229,1.00002,0.175354,99.1946
4700,        750.155,0.155824,0.15544,0.466202,1.00002,0.170395,99.2009
4800,        765.699,0.155561,0.15544,0.490692,1.00002,0.167068,99.214
4900,        781.082,0.155307,0.154639,0.508835,1.00002,0.167557,99.2094
5000,        796.546,0.155103,0.154639,0.508606,1.00002,0.166977,99.2177
5100,        812.010,0.154912,0.154639,0.51712,1.00002,0.166656,99.2281
5200,        827.474,0.154737,0.154639,0.525742,1,0.165634,99.2404
5300,        842.769,0.154583,0.153846,0.531784,1,0.164047,99.2356
5400,        858.154,0.154442,0.153846,0.535507,1.00002,0.165359,99.2416
5500,        873.538,0.15431,0.153846,0.53685,1,0.161346,99.2489
5600,        888.923,0.154195,0.153846,0.539383,1.00002,0.161163,99.2574
5700,        904.308,0.154091,0.153846,0.540802,1.00002,0.1604,99.2668
5800,        919.692,0.153986,0.153846,0.539032,1.00002,0.160004,99.277
5900,        935.077,0.153899,0.153846,0.531479,1.00002,0.159012,99.2879
6000,        950.403,0.153814,0.152338,0.515976,1,0.158081,99.2932
6100,        965.663,0.153744,0.153061,0.493805,1.00002,0.157242,99.2923
6200,        980.969,0.153676,0.153061,0.482132,1.00002,0.156433,99.2968
6300,        996.276,0.153612,0.153061,0.479156,1,0.160049,99.3018
6400,       1011.582,0.153554,0.153061,0.474503,1,0.155197,99.3072
6500,       1026.888,0.1535,0.153061,0.475037,1,0.159592,99.313
6600,       1042.194,0.153451,0.153061,0.475632,1,0.154083,99.3191
6700,       1057.500,0.153404,0.153061,0.476349,1.00002,0.153473,99.3256
6800,       1072.806,0.153359,0.153061,0.47702,1.00002,0.153,99.3322
6900,       1088.112,0.153317,0.153061,0.479065,1,0.160736,99.3391
7000,       1103.418,0.15328,0.153061,0.481354,1,0.152191,99.3461
7100,       1118.724,0.153245,0.153061,0.481186,1,0.15184,99.3533
7200,       1134.031,0.153212,0.153061,0.475571,1,0.151474,99.3605
7300,       1149.337,0.153186,0.153061,0.466766,1,0.151718,99.3679
7400,       1164.643,0.153161,0.153061,0.461395,1,0.151398,99.3752
7500,       1179.949,0.153135,0.153061,0.447281,1,0.151108,99.3826
7600,       1195.255,0.153114,0.153061,0.442596,1,0.150894,99.39
7700,       1210.561,0.153095,0.153061,0.43663,1,0.150635,99.3973
7800,       1225.867,0.153074,0.153061,0.427521,1,0.150406,99.4047
7900,       1241.164,0.153058,0.151902,0.425735,1,0.150208,99.4112
8000,       1256.354,0.153044,0.151902,0.439407,1,0.180756,99.4093
8100,       1271.574,0.15303,0.152284,0.483856,1,0.163055,99.4098
8200,       1286.802,0.153018,0.152284,0.520187,1,0.220093,99.411
8300,       1302.030,0.153007,0.152284,0.543274,1,0.18103,99.4123
8400,       1317.259,0.152997,0.152284,0.556641,1,0.198563,99.4137
8500,       1332.487,0.152988,0.152284,0.564926,1,0.207092,99.4151
8600,       1347.716,0.152978,0.152284,0.570633,1,0.214096,99.4166
8700,       1362.944,0.152971,0.152284,0.554199,1,0.182907,99.418
8800,       1378.173,0.152964,0.152284,0.516144,1,0.178268,99.4195
8900,       1393.401,0.152957,0.152284,0.468735,1,0.150101,99.421
9000,       1408.629,0.15295,0.152284,0.407364,1,0.159439,99.4226
9100,       1423.858,0.152943,0.152284,0.407333,1,0.153412,99.4241
9200,       1439.086,0.152939,0.152284,0.405869,1,0.150314,99.4257
9300,       1454.315,0.152932,0.152284,0.403885,0.999985,0.150345,99.4272
9400,       1469.543,0.152927,0.152284,0.402863,1,0.150391,99.4288
9500,       1484.772,0.152922,0.152284,0.402054,1,0.150436,99.4303
9600,       1500.000,0.152918,0.152284,0.401505,1,0.150299,99.4319
9700,       1515.228,0.152915,0.152284,0.401169,1,0.150467,99.4334
9800,       1530.457,0.152911,0.152284,0.400558,1,0.150528,99.435
9900,       1545.685,0.152906,0.152284,0.399887,1,0.150558,99.4365
10000,       1560.914,0.152904,0.152284,0.398483,1,0.150589,99.4381
10100,       1576.142,0.152901,0.152284,0.395386,1,0.150604,99.4396
10200,       1591.371,0.152899,0.152284,0.458725,1,0.15062,99.4411
