iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,          7.995,0.184739,0.183374,0.145477,0.822388,0.0761566,46.8927
200,         30.224,0.224634,0.223881,0.143204,1,0.0641479,85.2466
300,         52.612,0.224634,0.223881,0.163452,1,0.0639954,91.3817
400,         75.000,0.224634,0.223881,0.383896,1,0.14827,93.8541
500,         97.388,0.224634,0.223881,0.395157,1,0.148178,95.1897
600,        119.776,0.224637,0.223881,0.461426,1,0.145645,96.026
700,        142.164,0.224634,0.223881,0.506256,1,0.248367,96.5989
800,        164.552,0.224634,0.223881,0.563583,1,0.286362,97.016
900,        186.940,0.224163,0.223881,0.580261,0.997894,0.300156,97.3343
1000,        208.906,0.21951,0.21871,0.572357,0.977188,0.300034,97.5472
1100,        230.681,0.217766,0.216721,0.571228,0.969421,0.300003,97.7338
1200,        252.279,0.215749,0.213507,0.567368,0.960434,0.299973,97.8926
1300,        273.643,0.214797,0.214286,0.566299,0.956207,0.299988,98.0032
1400,        295.071,0.214874,0.214286,0.566605,0.956543,0.300003,98.1281
1500,        316.500,0.214646,0.214286,0.566269,0.955536,0.299973,98.2385
1600,        337.929,0.214603,0.214286,0.566193,0.955338,0.300003,98.336
1700,        359.357,0.214659,0.214286,0.566284,0.955582,0.300018,98.4229
1800,        380.786,0.21466,0.214286,0.566177,0.955582,0.299957,98.5003
1900,        402.214,0.214563,0.214286,0.566132,0.957397,0.299957,98.5696
2000,        423.643,0.214596,0.214286,0.566147,0.963181,0.299973,98.6323
2100,        445.071,0.214674,0.214286,0.566406,0.968719,0.300034,98.6885
2200,        466.500,0.214806,0.214286,0.566498,0.975494,0.300003,98.7399
2300,        487.929,0.214501,0.214286,0.565979,0.981064,0.299988,98.7876
2400,        509.357,0.214698,0.214286,0.566238,0.987686,0.300003,98.8312
2500,        530.786,0.214972,0.214286,0.566833,0.994781,0.299988,98.8693
2600,        552.214,0.214922,0.214286,0.566666,1.00006,0.299835,98.8984
2700,        573.404,0.213862,0.212766,0.563339,1.00005,0.297058,98.8973
